bed,bath,area,price,bintaro,ciputat,pamulang,raya,jl,sutera,cluster,SEKTOR,JAYA,SERPONG,LANTAI,DEKAT,MURAH
3.0,2.0,200,4800000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
4.0,4.0,200,2700000000.0,0,1,0,0,0,0,0,0,0,0,0,0,1
4.0,3.0,110,1375000000.0,0,1,0,0,0,0,0,0,0,0,0,1,0
5.0,5.0,232,4250000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.0,5.0,540,5500000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0
3.0,5.0,200,2900000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,40,599000000.0,0,0,1,0,0,0,0,0,0,0,0,1,0
4.0,3.0,358,5900000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,88,1268850000.0,0,1,0,0,0,0,0,0,0,0,1,0,0
4.0,3.0,145,2798000000.0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.0,3.0,200,2700000000.0,1,0,0,0,0,0,0,1,1,0,1,0,0
5.0,3.0,200,2499000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
4.0,3.0,105,1900000000.0,0,1,1,0,0,0,0,0,0,0,0,0,1
3.0,3.0,108,2458000000.0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.0,2.0,92,2400000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,5.0,870,14000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,4.0,127,2675000000.0,0,0,0,0,0,0,1,0,0,1,0,0,0
4.0,3.0,126,2300000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.0,3.0,300,6000000000.0,1,0,0,0,0,0,0,0,1,0,0,0,0
2.0,2.0,63,1342500000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.0,3.0,160,2200000000.0,0,0,1,0,0,0,0,0,0,0,0,0,0
5.0,4.0,200,3200000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
2.0,1.0,42,490000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,3.0,150,2150000000.0,0,0,0,1,1,0,0,0,0,1,0,0,1
5.0,3.0,160,2800000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
4.0,3.0,432,12970400000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,1.0,80,1450000000.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,2.0,63,1328000000.0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.0,4.0,393,7200000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,90,1200000000.0,0,0,1,0,1,0,0,0,0,0,0,0,0
3.0,2.0,92,2400000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.0,4.0,595,8000000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2.0,2.0,60,975000000.0,0,0,1,0,1,0,0,0,0,0,0,0,0
4.0,3.0,193,6300000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,240,6500000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.0,4.0,318,7000000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.0,5.0,500,4500000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,220,5200000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,1.0,52,800000000.0,0,1,0,1,0,0,0,0,0,0,1,0,0
3.0,2.0,120,2700000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
2.0,1.0,60,960000000.0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.0,3.0,215,3300000000.0,1,0,0,0,1,0,0,0,0,0,0,1,0
1.0,2.0,60,1300000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
